Country,Name,lat,lng,Altitude
United States,New York City,40.7142691,-74.0059738,2.0
United States,Los Angeles,34.0522342,-118.2436829,115.0
United States,Chicago,41.8500330,-87.6500549,181.0
United States,Houston,29.7632836,-95.3632736,15.0
